repository_name,repository_url,team_url,last_update,watchers_count,forks_count,open_issues_count,language
pure,https://github.com/yahoo/pure,https://api.github.com/repos/yahoo/pure/teams,2015-09-11T17:49:16Z,12242,1512,86,HTML
gifshot,https://github.com/yahoo/gifshot,https://api.github.com/repos/yahoo/gifshot/teams,2015-09-11T23:04:44Z,2227,138,5,JavaScript
mojito,https://github.com/yahoo/mojito,https://api.github.com/repos/yahoo/mojito/teams,2015-09-10T18:44:26Z,1611,244,39,JavaScript
kafka-manager,https://github.com/yahoo/kafka-manager,https://api.github.com/repos/yahoo/kafka-manager/teams,2015-09-11T21:54:38Z,1372,311,52,Scala
fluxible,https://github.com/yahoo/fluxible,https://api.github.com/repos/yahoo/fluxible/teams,2015-09-11T17:01:34Z,1179,106,10,JavaScript
react-intl,https://github.com/yahoo/react-intl,https://api.github.com/repos/yahoo/react-intl/teams,2015-09-11T22:56:49Z,1156,60,13,JavaScript
mysql_perf_analyzer,https://github.com/yahoo/mysql_perf_analyzer,https://api.github.com/repos/yahoo/mysql_perf_analyzer/teams,2015-09-11T21:38:54Z,1156,143,2,Java
flux-examples,https://github.com/yahoo/flux-examples,https://api.github.com/repos/yahoo/flux-examples/teams,2015-09-11T15:11:06Z,1052,157,6,JavaScript
boomerang,https://github.com/yahoo/boomerang,https://api.github.com/repos/yahoo/boomerang/teams,2015-09-01T11:10:48Z,1020,205,12,JavaScript
squidb,https://github.com/yahoo/squidb,https://api.github.com/repos/yahoo/squidb/teams,2015-09-11T17:40:48Z,961,85,8,Java
mdbm,https://github.com/yahoo/mdbm,https://api.github.com/repos/yahoo/mdbm/teams,2015-09-10T10:14:40Z,865,96,6,C++
webseclab,https://github.com/yahoo/webseclab,https://api.github.com/repos/yahoo/webseclab/teams,2015-09-10T10:18:51Z,850,47,0,Go
debugCSS,https://github.com/yahoo/debugCSS,https://api.github.com/repos/yahoo/debugCSS/teams,2015-08-13T03:34:41Z,571,27,0,CSS
dispatchr,https://github.com/yahoo/dispatchr,https://api.github.com/repos/yahoo/dispatchr/teams,2015-09-04T20:22:55Z,413,33,3,JavaScript
samoa,https://github.com/yahoo/samoa,https://api.github.com/repos/yahoo/samoa/teams,2015-08-02T15:44:11Z,397,74,0,Java
istanbul,https://github.com/yahoo/istanbul,https://api.github.com/repos/yahoo/istanbul/teams,2015-08-28T15:25:15Z,358,14,0,JavaScript
storm-yarn,https://github.com/yahoo/storm-yarn,https://api.github.com/repos/yahoo/storm-yarn/teams,2015-09-10T17:01:16Z,349,136,37,Java
oozie,https://github.com/yahoo/oozie,https://api.github.com/repos/yahoo/oozie/teams,2015-09-09T06:22:26Z,319,110,114,Java
redislite,https://github.com/yahoo/redislite,https://api.github.com/repos/yahoo/redislite/teams,2015-09-07T09:42:21Z,302,19,8,Python
